"Landlord","Job Title","Company","Address","Neighborhood","Units","Total Infractions","A Class","B Class","C Class","I Class","City","State"
"Abraham Herzog",,,"71 Grand Ave Brooklyn","Brooklyn",6,107,19,64,23,1,"New York City","NY"
"Roy Bison","Head Officer","Macon Associates LLC","872 Macon Street Brooklyn","Brooklyn",8,279,48,214,16,1,"New York City","NY"
"Patricia Mekamkwe",,,"957 Bruckner Boulevard Bronx","Bronx",3,41,7,24,9,1,"New York City","NY"
"Rudy Cambier",,,"1144 Longfellow Avenue Bronx","Bronx",3,12,0,2,9,1,"New York City","NY"
"Philip Schorr","Head Officer","Southern Blvd Partners Pt. 2","737 Southern Boulevard Bronx","Bronx",45,113,17,83,13,0,"New York City","NY"
"Phillip Miller",,,"947 Bedford Avenue Brooklyn","Brooklyn",4,79,13,63,3,0,"New York City","NY"
"Roy Hardy",,,"745 Kelly Street Bronx","Bronx",3,59,12,38,9,0,"New York City","NY"
"Roy Singh","Head Officer","Amrenco Inc","1807 Phelan Place Bronx","Bronx",5,176,34,96,44,2,"New York City","NY"
"Alcides Hoy",,,"2308 Morris Avenue Bronx","Bronx",3,58,5,22,29,2,"New York City","NY"
"Roger Choisy",,,"325 East 54 Street Brooklyn","Brooklyn",4,217,40,136,40,1,"New York City","NY"
"Silviania Mestizo",,,"1076 Greene Avenue Brooklyn","Brooklyn",3,81,19,46,15,1,"New York City","NY"
"Ana Beauchamp",,,"126 Tapscott Street Brooklyn","Brooklyn",3,38,3,29,5,1,"New York City","NY"
"55 Construction Corp",,,"844 East 216 Street Bronx","Bronx",3,76,7,54,13,2,"New York City","NY"
"Sandra Kandhai",,,"47 Hill Street Brooklyn","Brooklyn",4,73,8,57,7,1,"New York City","NY"
"Morris Moinian","Head Officer","M/S Capital NY LLC","1531 York Avenue Manhattan","Manhattan",11,78,13,57,8,0,"New York City","NY"
"Moshette Sydney","Head Officer","Allen Affordable Housing Development Fund Corp.","107-04 150th Street Queens","Queens",13,175,36,114,25,0,"New York City","NY"
"Mr Goldstein","Head Officer","BSDRR Inc.","643 Faile Street Bronx","Bronx",3,39,10,27,2,0,"New York City","NY"
"Najma Ahmed",,,"54-33 Metropolitan Ave Queens","Queens",6,38,0,33,5,0,"New York City","NY"
"Antonio Lopez","Head Officer","555 Southern LLC","555 Southern Boulevard Bronx","Bronx",35,129,21,101,6,0,"New York City","NY"
"Armando Guzman","Head Officer","600 West 183rd Street Realty Corporation","600 West 183 Street Manhattan","Manhattan",50,199,37,102,60,0,"New York City","NY"
"Sahid Latif","Head Officer","NYC 174th Realty CO Corp","550 W 174 Street Manhattan","Manhattan",26,108,19,72,17,0,"New York City","NY"
"Rudy Zapata",,,"719 Beck Street Bronx","Bronx",3,33,5,20,8,0,"New York City","NY"
"Rush Struges","Head Officer","Riverside Assoc. LLC","900 Riverside Drive Manhattan","Manhattan",72,463,131,263,68,1,"New York City","NY"
"Peter Vuksanaj","Head Officer","Eshina Realty Corp","2550 MARION AVENUE Bronx","Bronx",35,177,36,122,19,0,"New York City","NY"
"Carmen Arroyo",,,"1626 Taylor Avenue Bronx","Bronx",4,56,13,27,15,1,"New York City","NY"
"Samuel Charles","Head Officer","Rock-Park Realty LLC","166 Rockaway Parkway Brooklyn","Brooklyn",42,126,17,81,28,0,"New York City","NY"
"Clarkson Hood","Head Officer","Pacific/Vanburen Realty CORP LLC","1473 Pacific Street Brooklyn","Brooklyn",14,78,15,55,8,0,"New York City","NY"
"Cohen Eli","Head Officer","Palazzolo Holding V Corp","735 Bryant Avenue Bronx","Bronx",49,143,29,75,39,0,"New York City","NY"
"Daisy Calhoun",,,"279 East 95 Street Brooklyn","Brooklyn",4,57,2,35,19,1,"New York City","NY"
"Danny Hakakian","Head Officer","206 Audubon LLC","206 Audubon Avenue Manhattan","Manhattan",34,347,45,220,82,0,"New York City","NY"
"Danraj Rajkumar",,,"1040 Longfellow Avenue Bronx","Bronx",4,40,8,29,2,1,"New York City","NY"
"Darren Bruce",,,"2010 Mapes Avenue Bronx","Bronx",3,49,3,23,22,1,"New York City","NY"
"David Amir","Head Officer","MAOR Group LLC","950 Rogers Place Bronx","Bronx",3,28,0,0,28,0,"New York City","NY"
"Denise Tong",,,"1102 JEFFERSON AVENUE Brooklyn","Brooklyn",3,50,14,24,12,0,"New York City","NY"
"Simon Curanaj","Head Officer","4431 Richardson Ave Realty Corp.","4331 Richardson Avenue Bronx","Bronx",20,205,27,148,29,1,"New York City","NY"
"Sean Assaah",,,"289 Mother Gaston Boulevard Brooklyn","Brooklyn",3,79,9,52,16,2,"New York City","NY"
"Seth Green","Head Officer","Patchen Group LLC","764 Jefferson Avenue Brooklyn","Brooklyn",8,78,12,42,23,1,"New York City","NY"
"Shaban Celaj","Head Officer","Kingsbridge LLC","212 WEST KINGSBRIDGE RD Bronx","Bronx",61,299,71,203,25,0,"New York City","NY"
"Edward Byrd",,,"604 Georgia Avenue Brooklyn","Brooklyn",4,84,29,51,3,1,"New York City","NY"
"Edwin Miranda","Head Officer","672 Saint Nicholas Avenue LP","672 St. Nicholas Avenue Manhattan","Manhattan",49,217,35,113,69,0,"New York City","NY"
"Ronald Pasquale","Head Officer","177 Spring St Corp.","86 Thompson Street Manhattan","Manhattan",8,47,5,31,11,0,"New York City","NY"
"Edwin Miranda","Head Officer","612-618 West 182 Street Holdings LP","616 West 182 Street Manhattan","Manhattan",16,89,8,49,32,0,"New York City","NY"
"Eli Hamway","Head Officer","Eastern Capital 26th Street LLC","301 East 26 Street Brooklyn","Brooklyn",4,23,5,5,13,0,"New York City","NY"
"Emil Vargas","Head Officer","Golden State Holding","408 East 64th Street Manhattan","Manhattan",16,80,14,63,3,0,"New York City","NY"
